y	offset	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50
244	5.4806389233419912	0.027777777777777776	0.1111111111111111	0.027777777777777776	0	0	0.1111111111111111	0.44444444444444442	0.1111111111111111	0	0	0.027777777777777776	0.1111111111111111	0.027777777777777776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	5.4806389233419912	0.010123096857790732	0.099449303530936173	0.056446388079041135	0.00064787819889860696	0	0.040492387431162929	0.39779721412374469	0.22578555231616454	0.0025915127955944278	0	0.010123096857790732	0.099449303530936173	0.056446388079041135	0.00064787819889860696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268	5.4806389233419912	0.0021865889212827985	0.072238419177194674	0.087058632977000311	0.0051830255911888556	0	0.0087463556851311939	0.2889536767087787	0.34823453190800124	0.020732102364755423	0	0.0021865889212827985	0.072238419177194674	0.087058632977000311	0.0051830255911888556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232	5.4806389233419912	8.0984774862325869e-05	0.04114026563006154	0.10795270489148037	0.017492711370262388	0	0.00032393909944930348	0.16456106252024616	0.43181081956592149	0.069970845481049551	0	8.0984774862325869e-05	0.04114026563006154	0.10795270489148037	0.017492711370262388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	5.4806389233419912	0	0.017492711370262388	0.10795270489148037	0.04114026563006154	8.0984774862325869e-05	0	0.069970845481049551	0.43181081956592149	0.16456106252024616	0.00032393909944930348	0	0.017492711370262388	0.10795270489148037	0.04114026563006154	8.0984774862325869e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238	5.4806389233419912	0	0.0051830255911888556	0.087058632977000311	0.072238419177194674	0.0021865889212827985	0	0.020732102364755423	0.34823453190800124	0.2889536767087787	0.0087463556851311939	0	0.0051830255911888556	0.087058632977000311	0.072238419177194674	0.0021865889212827985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	5.4806389233419912	0	0.00064787819889860696	0.056446388079041135	0.099449303530936173	0.010123096857790732	0	0.0025915127955944278	0.22578555231616454	0.39779721412374469	0.040492387431162929	0	0.00064787819889860696	0.056446388079041135	0.099449303530936173	0.010123096857790732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
225	5.4806389233419912	0	0	0.027777777777777776	0.1111111111111111	0.027777777777777776	0	0	0.1111111111111111	0.44444444444444442	0.1111111111111111	0	0	0.027777777777777776	0.1111111111111111	0.027777777777777776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	5.5606389233419913	0.015597656250000001	0.062390625000000005	0.015597656250000001	0	0	0.10645355902777777	0.42581423611111108	0.10645355902777777	0	0	0.044466579861111105	0.17786631944444442	0.044466579861111105	0	0	0.00014887152777777774	0.00059548611111111098	0.00014887152777777774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	5.5606389233419913	0.0056842770590378993	0.055842337827988336	0.03169552888119534	0.00036379373177842568	0	0.038795028800210546	0.38112236293326851	0.21632108058997407	0.0024828818432134758	0	0.01620502181527372	0.15919813431324906	0.0903592016419663	0.0010371213961775185	0	5.4253472222222199e-05	0.00053298611111111092	0.00030251736111111104	3.4722222222222215e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
